id,coder,coder_number,coder_text,pmcid,protocol,include,participants,participants_text,journal,publisher,pub_year,impact_factor,verbatim,power_calc_type,power_calc_type_text,multiple,stats_knowledge,version,version_text,power,power_text,alpha,alpha_text,sample_size,sample_size_text,effect_size_type,effect_size_type_other_standardized_text,effect_size_type_other_nonstandardized_text,effect_size_value,effect_size_value_text,stat_test,stat_test_other_regression_text,stat_test_other_nonregression_text,other_info_missing,reproducible,reproducible_text,justification,justification_text,mult_compare,mult_compare_text,anova_within_between,match,match_text,error,error_text,impact,comments_calc,comments_general
81,EZ/RTT,,NA,PMC8262247,No,Include,Non-human animals (this includes both in vivo and in vitro studies),,PATHOLOGY & ONCOLOGY RESEARCH,,2021,2.826,"Also, the total sample size of 35 was calculated by G-POWER 3.1.9.7 software with the alpha probability of 0.05, effect size of 0.8 and a power of 0.80 in order to the sufficient number of mice per group.",Solves for sample size (often called a priori),,No,Yes,Yes,3.1.9.7,Yes (0.80),,Yes (0.05),NA,Yes,35,No,,,Yes,0.8,the statistical test is NOT reported,,,,No,,No justification or basis is reported,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,,,,
81,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,EZ,1,NA,PMC5447760,Yes,Include,Humans,,Frontiers in Psychology,,2017,NA,"Paired t-tests showed a significant gain in accuracy (in %) from T1 to T2 across the coordinative intervention and the control condition in motor inhibition, t(100) = -3.53, p < 0.001, d = -0.35, cognitive inhibition, t(100) = -6.19, p < 0.001, d = -0.62, and shifting, t(100) = -8.40, p < 0.001, d = -0.84. The mixed model with accuracy in the three executive function tasks at T2 as dependent variable yielded no significant main effect of the experimental condition, √ü1 = 1.83, t(91.89) = 1.50, p = 0.1374. It should be noted that the power to detect differences between both conditions in the present sample, assuming a medium effect size of f2 = 0.15 (Cohen, 1988), was large enough: 1 ‚Äì √ü = 0.97 (Faul et al., 2007).",Solves for power (often called post hoc),,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
82,RTT,2,NA,PMC5447760,No,Include,Humans,,frontiers in psychology,,2017,2.463,"It should be noted that the power to detect differences between both conditions in the present sample, assuming a medium effect size of f2 = 0.15 (Cohen, 1988), was large enough: 1 ‚Äì √ü = 0.97 (Faul et al., 2007)",Solves for power (often called post hoc),,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
82,EZ/RTT,,NA,PMC5447760,No,Include,Humans,,Frontiers in Psychology,FRONTIERS MEDIA SA,2017,NA,"It should be noted that the power to detect differences between both conditions in the present sample, assuming a medium effect size of f2 = 0.15 (Cohen, 1988), was large enough: 1 ‚Äì √ü = 0.97 (Faul et al., 2007)",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,resolveNotes,,,,nc,,,,,,,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,EZ,1,NA,PMC7905917,No,Include,Humans,,Archives of Public Health,,2021,1.774,"The estimated sample size was 494 using G-power, based on the results from Mirghafourvand et al.‚Äôs study (19), and the correlation coefficient of 0.12 between social support and physical activity of HPB, Œ±‚Äâ=‚Äâ0.05, power‚Äâ=‚Äâ85%. The final sample size was 749 because of using cluster sampling and a design effect of 1.5. However, the sample size was ultimately increased to 783 by considering a 5% sample loss.",Solves for sample size (often called a priori),,No,Probably,No,,Yes,0.85,Yes (0.05),NA,Yes,494,r,,,Yes,0.12,the statistical test is NOT reported,,,,No,,Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,No,Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,,,,
83,HP,2,,PMC7905917,No,Include,Humans,,Arch Public Health,,2021,1.79,"The estimated sample size was 494 using G-power, based on the results from Mirghafourvand et al.â€™s study (19), and the correlation coefficient of 0.12 between social support and physical activity of HPB, Î±â€‰=â€‰0.05, powerâ€‰=â€‰85%. The final sample size was 749 because of using cluster sampling and a design effect of 1.5. However, the sample size was ultimately increased to 783 by considering a 5% sample loss.",Solves for sample size (often called a priori),,No,Yes,No,,Yes,0.85,Yes (0.05),,Yes,749,r,,,Yes,0.12,"correlation (e.g., Pearson's or Spearman's)",,,"Study used design effect of 1.5 to account for cluster sampling (DE = 1 + (n âˆ’ 1)Ï (1)
 where n is the number of individuals per cluster and Ï the ICC)",No,,Previously published research,,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",NTA,No,Yes,"Based on the Pearson correlation test, the total HPLP-II score (correlation coefficient (r)â€‰=â€‰0.23; pâ€‰<â€‰0.001) <I ASSUMED THIS TO BE THE PRIMARY ANALYSIS> ...and its subdomains, namely nutrition (râ€‰=â€‰0.24; pâ€‰<â€‰0.001), physical activity (râ€‰=â€‰0.24; pâ€‰<â€‰0.001), health responsibility (râ€‰=â€‰0.18; pâ€‰<â€‰0.001), interpersonal relationships (râ€‰=â€‰0.21; pâ€‰<â€‰0.001), and stress management (râ€‰=â€‰0.12; pâ€‰<â€‰0.001) were significantly correlated with the social support (Table â€‹2)","Likely, but I cannot be certain based on the information provided.","I cannot reproduce the basic power calculation (with r=0.12 study says sample size is 494, but is 497 in my version)...could be that they used a correlation coefficient to 3 decimal places but it was only reported to 2 in the paper.
 The design effect of 1.5 to account for cluster sampling requires knowledge of intracluster coefficient, but this is not reported. It is also unclear what the number of individuals per cluster is from what is reported","It cannot easily be quantified. The basic sample size calculation (without design effect) is only slightly lower than my calculation, so the impact would be very minimal. But I cannot evaluate if the design effect has been calculated properly and so cannot quantify the error",,
83,RTT,,NA,PMC7905917,No,Include,Humans,,Archives of Public Health,,2021,1.774,"The estimated sample size was 494 using G-power, based on the results from Mirghafourvand et al.‚Äôs study (19), and the correlation coefficient of 0.12 between social support and physical activity of HPB, Œ±‚Äâ=‚Äâ0.05, power‚Äâ=‚Äâ85%. The final sample size was 749 because of using cluster sampling and a design effect of 1.5. However, the sample size was ultimately increased to 783 by considering a 5% sample loss.",Solves for sample size (often called a priori),,No,"No (If you select this option, the survey will terminate and we will be sure to get a stats savvy coder to be the other coder for this power calculation)",,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
83,EZ/HP,,NA,PMC7905917,No,Include,Humans,,Archives of Public Health,BMC,2021,1.774,"The estimated sample size was 494 using G-power, based on the results from Mirghafourvand et al.‚Äôs study (19), and the correlation coefficient of 0.12 between social support and physical activity of HPB, Œ±‚Äâ=‚Äâ0.05, power‚Äâ=‚Äâ85%. The final sample size was 749 because of using cluster sampling and a design effect of 1.5. However, the sample size was ultimately increased to 783 by considering a 5% sample loss.",Solves for sample size (often called a priori),,No,,No,,Yes,0.85,Yes (0.05),,Yes,494,r,,,Yes,0.12,"correlation (e.g., Pearson's or Spearman's)",,,,No,,Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,No,Yes,,Unsure (there's not enough information to reasonably code yes or no).,,,,
83,resolveNotes,,,,,,,,,,,nc,,,,,,,,,,,,,"494 is power calc, 749 is actual sample size used",,,,,,the power calculation is for a correlation coefficient.,,,,,,,,No clear primary outcome,,,,,,,,,
84,EZ,1,NA,PMC6957877,No,Include,Humans,,Contemporary Clinical Trials Communications,,2020,NA,"2.9.2.1. Sample size considerations To achieve 80% power at a 0.05 significance level with a large effect size (demonstrated when a single behaviour is targeted and MI proficiency is confirmed) [32], 34 participants are required [33]. Being a cluster randomised trial, a recommended intracluster correlation coefficient of 0.05 is applied to account for variation between clusters, increasing the target sample size to 14 participants per cluster [34,35]. Allowing for a conservative loss to follow up (given the relatively short 6-week intervention) the final target sample size is 15 participants per cluster and 60 participants overall.",Solves for sample size (often called a priori),,No,Yes,No,,Yes (0.80),,Yes (0.05),NA,Yes,34,No,,,No,,the statistical test is NOT reported,,,,No,,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,No,Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,,,,
84,HP,2,,PMC6957877,Yes,Include,Humans,,Contemporary Clinical Trials Communications,,2020,0.39,"To achieve 80% power at a 0.05 significance level with a large effect size (demonstrated when a single behaviour is targeted and MI proficiency is confirmed) [32], 34 participants are required [33]. Being a cluster randomised trial, a recommended intracluster correlation coefficient of 0.05 is applied to account for variation between clusters, increasing the target sample size to 14 participants per cluster [34,35]. Allowing for a conservative loss to follow up (given the relatively short 6-week intervention) the final target sample size is 15 participants per cluster and 60 participants overall.",Solves for sample size (often called a priori),,No,Yes,No,,Yes (0.80),,Yes (0.05),,Yes,60,No,,,No,,the statistical test is NOT reported,,,"It looks as though the statistical test powered for is an ANCOVA, but that isn't completely clear",No,,"Previously published research,Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,No,The article is a protocol,,No,,No - not enough info to work out,Intracluster coefficient assumed to be 0.05; loss of follow-up of 1/15 participants assumed,
